hr	hc	α	c	v	r	z	pd	w	obj	status
3.5	0.5	0.15	1.0	0.4	0.5	0.11213764156324973	10.969635838528566	2.3130315817637457	22.05879454902716	LOCALLY_SOLVED
4.0	0.5	0.15	1.0	0.4	0.5	0.12040462832890306	11.002175939649725	2.267527610038311	21.851218466505898	LOCALLY_SOLVED
3.0	1.0	0.15	1.0	0.4	0.5	0.10438971278890001	10.888004277270563	2.3467788161368865	22.043698962179214	LOCALLY_SOLVED
3.5	1.0	0.15	1.0	0.4	0.5	0.11254984650742107	10.920379048643257	2.30112233508784	21.83620965279754	LOCALLY_SOLVED
4.0	1.0	0.15	1.0	0.4	0.5	0.12085579874589689	10.952964841533955	2.2556512012420193	21.62973326483049	LOCALLY_SOLVED
3.0	1.5	0.15	1.0	0.4	0.5	0.10476626017731298	10.838709619602058	2.334843671459748	21.821135788155537	LOCALLY_SOLVED
3.5	1.5	0.15	1.0	0.4	0.5	0.11296463641273581	10.87112861699068	2.2892185620436765	21.614747308307273	LOCALLY_SOLVED
4.0	1.5	0.15	1.0	0.4	0.5	0.1213098703837064	10.903760574677955	2.243780646320684	21.409370335616313	LOCALLY_SOLVED
3.0	0.5	0.1	1.5	0.4	0.5	0.029123971192415218	11.05169593700052	2.6397376585241	21.04025540288802	LOCALLY_SOLVED
3.5	0.5	0.1	1.5	0.4	0.5	0.03379323916037522	11.072785891345022	2.6089432881558956	20.903349756537505	LOCALLY_SOLVED
4.0	0.5	0.1	1.5	0.4	0.5	0.03851725440054213	11.093957016279349	2.5782172392138225	20.766900584946278	LOCALLY_SOLVED
3.0	1.0	0.1	1.5	0.4	0.5	0.029112148688269432	11.018715879047681	2.63176238317783	20.89435468048066	LOCALLY_SOLVED
3.5	1.0	0.1	1.5	0.4	0.5	0.033793927414420874	11.039821966346437	2.6009790860758653	20.75793763033671	LOCALLY_SOLVED
4.0	1.0	0.1	1.5	0.4	0.5	0.03853069549807782	11.061009695073123	2.570264533302167	20.621976733122498	LOCALLY_SOLVED
3.0	1.5	0.1	1.5	0.4	0.5	0.029099633115701375	10.985737478105785	2.623789045275799	20.74895377674197	LOCALLY_SOLVED
3.5	1.5	0.1	1.5	0.4	0.5	0.033793978177857405	11.006859799649472	2.593016898942256	20.613025255979387	LOCALLY_SOLVED
4.0	1.5	0.1	1.5	0.4	0.5	0.03854355592663355	11.02806423718281	2.562313923401602	20.477552563554834	LOCALLY_SOLVED
3.0	0.5	0.15	1.5	0.4	0.5	0.04330991602251854	11.098745738102028	2.5435907207647053	20.558625127574285	LOCALLY_SOLVED
3.5	0.5	0.15	1.5	0.4	0.5	0.05059409474769576	11.130799686441367	2.4977520974680227	20.355844290550873	LOCALLY_SOLVED
4.0	0.5	0.15	1.5	0.4	0.5	0.05800654852864056	11.163051337662521	2.4520829340406296	20.154070606370087	LOCALLY_SOLVED
3.0	1.0	0.15	1.5	0.4	0.5	0.04334898579814434	11.049352605517047	2.531682014469847	20.342533313979924	LOCALLY_SOLVED
3.5	1.0	0.15	1.5	0.4	0.5	0.05066320054947427	11.081446596830258	2.4858716715783737	20.140849190067605	LOCALLY_SOLVED
4.0	1.0	0.15	1.5	0.4	0.5	0.05810653153711403	11.113740047429095	2.440232402831813	19.94017090913194	LOCALLY_SOLVED
3.0	1.5	0.15	1.5	0.4	0.5	0.04338685459144675	10.999963938911053	2.5197782534878113	20.127565619688756	LOCALLY_SOLVED
3.5	1.5	0.15	1.5	0.4	0.5	0.05073130723524168	11.032098360520457	2.473996496158647	19.926977948815658	LOCALLY_SOLVED
4.0	1.5	0.15	1.5	0.4	0.5	0.05820572322859888	11.064434018839323	2.4283874479558567	19.727394793808514	LOCALLY_SOLVED
3.0	0.5	0.1	2.0	0.4	0.5	-0.027536286768776105	11.211554200319812	2.8231856212836797	19.39448868018046	LOCALLY_SOLVED
